Time;Heigth lance;Rate O2;H2;O2;CO;CO2;N2;Ar;V gas;T gas;C calculated;C sublance;Ignition;DecompressionOffGasEvent;QOxygen;POxygen;TOxygen;DeltaPOxygen;QNitrogenLanceWindow;QNitrogenBoiler;RB5;RB6;RB7;RB8;RB9;RB10;RB11;RB12;NeuralC
19.10.2012 15:09:54;503;1194,48645019531;0,12;1,12;1,41;34,25;62,27;0,83;381262,25;50;3,09436617831645;0;0;-1820;1194,23681640625;18,0666389465332;15,5653533935547;687,481292724609;3248;6334;0;0;0;4008;3980;0;1504;0;0,0240141790747897
19.10.2012 15:09:55;503;1190,23333740234;0,22;0,82;2,26;33,35;62,54;0,81;381749,390625;51;3,09434370596213;0;0;-1803;1190,23333740234;18,0666389465332;15,5653533935547;682,851806640625;3203;6282;0;0;0;4008;3980;0;1504;0;0,0232031390057115
19.10.2012 15:09:56;503;1199,529296875;0,32;0,66;3,47;32,28;62,46;0,82;378924,34375;51;3,09431193632689;0;0;-1786;1199,529296875;18,0839996337891;15,5653533935547;695,004241943359;3270;6348;0;0;0;4008;3980;0;1504;0;0,0222965045638502
19.10.2012 15:09:57;503;1204,87060546875;0,42;0,56;4,36;31,51;62,33;0,82;379706,609375;51;3,09425819494377;0;0;-1767;1204,505859375;18,089786529541;15,5653533935547;698,765716552734;3259;6337;0;0;0;4008;3980;0;1504;0;0,0217700307110039
19.10.2012 15:09:58;503;1203,21014404297;0,46;0,51;5,24;30,92;62,06;0,81;377546,984375;51;3,0941725003975;0;0;-1755;1203,57489013672;18,0839996337891;15,5653533935547;698,476379394531;3267;6349;0;0;0;4008;3980;0;1504;0;0,0220372310718731
19.10.2012 15:09:59;503;1208,31378173828;0,51;0,48;6,29;30,98;60,95;0,79;381144,78125;51;3,09406023579958;0;0;-1752;1210,29949951172;18,0666389465332;15,5364151000977;705,999328613281;3276;6361;0;0;0;4008;3980;0;1504;0;0,0229416369161294
19.10.2012 15:10:00;503;1208,9853515625;0,56;0,48;7,31;30,88;59,98;0,78;380960,71875;51;3,09390828132801;0;0;-1745;1196,6953125;18,0666389465332;15,5364151000977;689,796081542969;3271;6359;0;0;0;4008;3980;0;1504;0;0,024157950527067
19.10.2012 15:10:01;503;1187,69836425781;0,61;0,49;8,26;30,46;59,39;0,78;381868,34375;51;3,09370379052905;0;0;-1746;1186,68670654297;18,0782127380371;15,5364151000977;678,511657714844;3295;6383;0;0;311;4008;3980;0;1504;0;0,0254899544108024
19.10.2012 15:10:02;503;1194,04022216797;0,65;0,58;8,69;30,49;58,83;0,77;381819,59375;51;3,09344897875477;0;0;-1753;1194,54412841797;18,089786529541;15,5364151000977;686,902618408203;3326;6417;0;0;311;4008;3980;0;1504;0;0,0268095042893404
19.10.2012 15:10:03;503;1190,04217529297;0,68;0,62;9,07;30,17;58,69;0,77;382887,59375;51;3,09312271980855;0;0;-2147483648;1188,27124023438;18,1071472167969;15,5364151000977;679,09033203125;3274;6367;0;0;311;4008;3980;0;1504;0;0,0284841681895924
19.10.2012 15:10:04;503;1185,11810302734;0,78;0,55;10,25;29,39;58,26;0,77;381550,84375;51;3,0927224838634;0;0;-1755;1183,66558837891;18,089786529541;15,5364151000977;674,460845947266;3269;6362;0;0;311;4008;3980;0;1504;0;0,0291828135498141
19.10.2012 15:10:05;503;1193,63568115234;0,88;0,5;11,98;28,4;57,48;0,77;380220,25;51;3,09226865485639;0;0;-1761;1193,63568115234;18,1013603210449;15,5364151000977;685,455902099609;3291;6384;0;0;311;4008;3980;0;1504;0;0,0296153286618615
19.10.2012 15:10:06;503;1204,17993164063;1,07;0,45;14,79;26,93;56,01;0,75;379498,921875;51;3,09170724893333;0;0;-1761;1204,17993164063;18,1013603210449;15,5364151000977;696,450988769531;3290;6384;0;0;311;4008;3980;0;1504;0;0,0299296711785104
19.10.2012 15:10:07;503;1195,84161376953;1,21;0,39;17,66;25,89;54,15;0,71;378768,984375;51;3,09104656134726;0;0;-1755;1195,84161376953;18,1129341125488;15,5364151000977;687,770629882813;3300;6393;0;0;311;4008;3980;0;1504;0;0,0302608596061777
19.10.2012 15:10:08;501;1201,72619628906;1,18;0,42;18,57;26,27;52,86;0,7;378262,6875;51;3,09029915412036;0;0;-1750;1201,47595214844;18,1245079040527;15,5364151000977;694,714904785156;3233;6326;0;0;311;4008;3980;0;1504;0;0,0306482066009162
19.10.2012 15:10:09;485;1197,13671875;1,23;0,39;19,72;26,02;51,94;0,69;376910,78125;51;3,08939435074864;0;0;-1746;1198,39025878906;18,1245079040527;15,5364151000977;690,085388183594;3208;6299;0;0;311;4008;3980;0;1504;0;0,0311340767780591
